,additional_underlyings,cfi,contract_tye,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
6999,,OPASPS,put,,american,2023-10-27,BATO,100,26.0,O:PLTR231027P00026000,PLTR
7030,,OPASPS,put,,american,2023-11-17,BATO,100,31.0,O:PLTR231117P00031000,PLTR
7031,,OPASPS,put,,american,2023-11-17,BATO,100,32.0,O:PLTR231117P00032000,PLTR
7032,,OPASPS,put,,american,2023-11-17,BATO,100,33.0,O:PLTR231117P00033000,PLTR
7033,,OPASPS,put,,american,2023-11-17,BATO,100,34.0,O:PLTR231117P00034000,PLTR
7034,,OPASPS,put,,american,2023-11-17,BATO,100,35.0,O:PLTR231117P00035000,PLTR
7035,,OPASPS,put,,american,2023-11-17,BATO,100,36.0,O:PLTR231117P00036000,PLTR
7036,,OPASPS,put,,american,2023-11-17,BATO,100,37.0,O:PLTR231117P00037000,PLTR
7037,,OPASPS,put,,american,2023-11-17,BATO,100,38.0,O:PLTR231117P00038000,PLTR
7038,,OPASPS,put,,american,2023-11-17,BATO,100,39.0,O:PLTR231117P00039000,PLTR
7039,,OPASPS,put,,american,2023-11-17,BATO,100,40.0,O:PLTR231117P00040000,PLTR
7070,,OPASPS,put,,american,2023-12-15,BATO,100,31.0,O:PLTR231215P00031000,PLTR
7071,,OPASPS,put,,american,2023-12-15,BATO,100,32.0,O:PLTR231215P00032000,PLTR
7072,,OPASPS,put,,american,2023-12-15,BATO,100,33.0,O:PLTR231215P00033000,PLTR
7073,,OPASPS,put,,american,2023-12-15,BATO,100,34.0,O:PLTR231215P00034000,PLTR
7074,,OPASPS,put,,american,2023-12-15,BATO,100,35.0,O:PLTR231215P00035000,PLTR
7075,,OPASPS,put,,american,2023-12-15,BATO,100,36.0,O:PLTR231215P00036000,PLTR
7076,,OPASPS,put,,american,2023-12-15,BATO,100,37.0,O:PLTR231215P00037000,PLTR
7077,,OPASPS,put,,american,2023-12-15,BATO,100,38.0,O:PLTR231215P00038000,PLTR
7078,,OPASPS,put,,american,2023-12-15,BATO,100,39.0,O:PLTR231215P00039000,PLTR
7079,,OPASPS,put,,american,2023-12-15,BATO,100,40.0,O:PLTR231215P00040000,PLTR
7110,,OPASPS,put,,american,2024-01-19,BATO,100,31.0,O:PLTR240119P00031000,PLTR
7112,,OPASPS,put,,american,2024-01-19,BATO,100,33.0,O:PLTR240119P00033000,PLTR
7113,,OPASPS,put,,american,2024-01-19,BATO,100,34.0,O:PLTR240119P00034000,PLTR
7115,,OPASPS,put,,american,2024-01-19,BATO,100,36.0,O:PLTR240119P00036000,PLTR
7117,,OPASPS,put,,american,2024-01-19,BATO,100,38.0,O:PLTR240119P00038000,PLTR
7118,,OPASPS,put,,american,2024-01-19,BATO,100,39.0,O:PLTR240119P00039000,PLTR
7121,,OPASPS,put,,american,2024-02-16,BATO,100,1.0,O:PLTR240216P00001000,PLTR
7122,,OPASPS,put,,american,2024-02-16,BATO,100,2.0,O:PLTR240216P00002000,PLTR
7123,,OPASPS,put,,american,2024-02-16,BATO,100,3.0,O:PLTR240216P00003000,PLTR
7124,,OPASPS,put,,american,2024-02-16,BATO,100,4.0,O:PLTR240216P00004000,PLTR
7125,,OPASPS,put,,american,2024-02-16,BATO,100,5.0,O:PLTR240216P00005000,PLTR
7126,,OPASPS,put,,american,2024-02-16,BATO,100,6.0,O:PLTR240216P00006000,PLTR
7127,,OPASPS,put,,american,2024-02-16,BATO,100,7.0,O:PLTR240216P00007000,PLTR
7128,,OPASPS,put,,american,2024-02-16,BATO,100,8.0,O:PLTR240216P00008000,PLTR
7129,,OPASPS,put,,american,2024-02-16,BATO,100,9.0,O:PLTR240216P00009000,PLTR
7130,,OPASPS,put,,american,2024-02-16,BATO,100,10.0,O:PLTR240216P00010000,PLTR
7131,,OPASPS,put,,american,2024-02-16,BATO,100,11.0,O:PLTR240216P00011000,PLTR
7132,,OPASPS,put,,american,2024-02-16,BATO,100,12.0,O:PLTR240216P00012000,PLTR
7133,,OPASPS,put,,american,2024-02-16,BATO,100,13.0,O:PLTR240216P00013000,PLTR
7134,,OPASPS,put,,american,2024-02-16,BATO,100,14.0,O:PLTR240216P00014000,PLTR
7135,,OPASPS,put,,american,2024-02-16,BATO,100,15.0,O:PLTR240216P00015000,PLTR
7136,,OPASPS,put,,american,2024-02-16,BATO,100,16.0,O:PLTR240216P00016000,PLTR
7137,,OPASPS,put,,american,2024-02-16,BATO,100,17.0,O:PLTR240216P00017000,PLTR
7138,,OPASPS,put,,american,2024-02-16,BATO,100,18.0,O:PLTR240216P00018000,PLTR
7139,,OPASPS,put,,american,2024-02-16,BATO,100,19.0,O:PLTR240216P00019000,PLTR
7140,,OPASPS,put,,american,2024-02-16,BATO,100,20.0,O:PLTR240216P00020000,PLTR
7141,,OPASPS,put,,american,2024-02-16,BATO,100,21.0,O:PLTR240216P00021000,PLTR
7142,,OPASPS,put,,american,2024-02-16,BATO,100,22.0,O:PLTR240216P00022000,PLTR
7143,,OPASPS,put,,american,2024-02-16,BATO,100,23.0,O:PLTR240216P00023000,PLTR
7144,,OPASPS,put,,american,2024-02-16,BATO,100,24.0,O:PLTR240216P00024000,PLTR
7145,,OPASPS,put,,american,2024-02-16,BATO,100,25.0,O:PLTR240216P00025000,PLTR
7146,,OPASPS,put,,american,2024-02-16,BATO,100,26.0,O:PLTR240216P00026000,PLTR
7147,,OPASPS,put,,american,2024-02-16,BATO,100,27.0,O:PLTR240216P00027000,PLTR
7148,,OPASPS,put,,american,2024-02-16,BATO,100,28.0,O:PLTR240216P00028000,PLTR
7149,,OPASPS,put,,american,2024-02-16,BATO,100,29.0,O:PLTR240216P00029000,PLTR
7150,,OPASPS,put,,american,2024-02-16,BATO,100,30.0,O:PLTR240216P00030000,PLTR
7151,,OPASPS,put,,american,2024-02-16,BATO,100,31.0,O:PLTR240216P00031000,PLTR
7152,,OPASPS,put,,american,2024-02-16,BATO,100,32.0,O:PLTR240216P00032000,PLTR
7153,,OPASPS,put,,american,2024-02-16,BATO,100,33.0,O:PLTR240216P00033000,PLTR
7154,,OPASPS,put,,american,2024-02-16,BATO,100,34.0,O:PLTR240216P00034000,PLTR
7155,,OPASPS,put,,american,2024-02-16,BATO,100,35.0,O:PLTR240216P00035000,PLTR
7156,,OPASPS,put,,american,2024-02-16,BATO,100,36.0,O:PLTR240216P00036000,PLTR
7157,,OPASPS,put,,american,2024-02-16,BATO,100,37.0,O:PLTR240216P00037000,PLTR
7158,,OPASPS,put,,american,2024-02-16,BATO,100,38.0,O:PLTR240216P00038000,PLTR
7159,,OPASPS,put,,american,2024-02-16,BATO,100,39.0,O:PLTR240216P00039000,PLTR
7160,,OPASPS,put,,american,2024-02-16,BATO,100,40.0,O:PLTR240216P00040000,PLTR
7161,,OPASPS,put,,american,2024-03-15,BATO,100,1.0,O:PLTR240315P00001000,PLTR
